Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Shortname,Price,Venue Likes,Venue Rating
Bronx,Wakefield,40.89470517661,-73.84720052054902,4c537892fd2ea593cb077a28,Lollipops Gelato,40.894123150205274,-73.84589162362325,Dessert Shop,Desserts,1.0,18.0,8.5
Bronx,Wakefield,40.89470517661,-73.84720052054902,4d6af9426107f04dedeb297a,Rite Aid,40.896649,-73.8448461,Pharmacy,Pharmacy,-99.0,12.0,7.2
Bronx,Wakefield,40.89470517661,-73.84720052054902,4c783cef3badb1f7e4244b54,Carvel Ice Cream,40.890486685759605,-73.84856772568665,Ice Cream Shop,Ice Cream,1.0,14.0,7.2
Bronx,Wakefield,40.89470517661,-73.84720052054902,508af256e4b0578944c87392,Cooler Runnings Jamaican Restaurant Inc,40.89827622104366,-73.85038105139019,Caribbean Restaurant,Caribbean,2.0,7.0,6.9
Bronx,Wakefield,40.89470517661,-73.84720052054902,4c25c212f1272d7f836385c5,Dunkin',40.8904587811365,-73.84908886747644,Donut Shop,Donuts,1.0,10.0,6.8
Bronx,Wakefield,40.89470517661,-73.84720052054902,4c81a91c51ada1cd87741510,Shell,40.894187118166535,-73.84586195733382,Gas Station,Gas Station,-99.0,2.0,6.2
Bronx,Wakefield,40.89470517661,-73.84720052054902,4d33665fb6093704b80001e0,SUBWAY,40.89065631618457,-73.84919159087512,Sandwich Place,Sandwiches,1.0,0.0,6.5
Bronx,Wakefield,40.89470517661,-73.84720052054902,4eb046abb8f7116f21081aeb,Baychester Avenue Food Truck,40.892293193824266,-73.84323016854879,Food Truck,Food Truck,1.0,1.0,-99.0
Bronx,Wakefield,40.89470517661,-73.84720052054902,5681717c498e9b9cf4d8c187,Koss Quick Wash,40.891147,-73.85023,Laundromat,Laundromat,-99.0,1.0,-99.0
Bronx,Co-op City,40.87429419303012,-73.82993910812398,4c9bde217c096dcbd07dbcd1,Dollar Tree,40.87012498449601,-73.82898863175873,Discount Store,Discount Store,-99.0,21.0,7.3
Bronx,Co-op City,40.87429419303012,-73.82993910812398,4d2cfa5cad25224bbbc5fb8f,Capri II Pizza,40.87637420537464,-73.82994042507629,Pizza Place,Pizza,1.0,5.0,6.6
Bronx,Co-op City,40.87429419303012,-73.82993910812398,4c9f6aed7c096dcbb71dded1,Rite Aid,40.8703448818904,-73.82830202579498,Pharmacy,Pharmacy,-99.0,3.0,6.9
